CODIGO SISMED;NOMBRE;MINIMO;MAXIMO;IPRESS AUTORIZADA;DX DE SALUD MENTAL;PNUME;ACCIÓN
5694;RISPERIDONA 2 mg+A141:H156A141:H159A141:H157A141:H156A137B141:B155B141:B155;1;300;HOSPITAL DE LA AMISTAD PERÚ - COREA SANTA ROSA ;F0XX al F100 del F100 al F39X, del F600 al F99X;SI;No dejar grabar si sobrepasa el maximo
2361;CLOZAPINA 100 mg.;1;360;HOSPITAL DE LA AMISTAD PERÚ - COREA SANTA ROSA ;F0XX al F100 del F100 al F39X, del F600 al F99X;SI;No dejar grabar si sobrepasa el maximo
3881;HALOPERIDOL 10 mg;1;360;HOSPITAL DE LA AMISTAD PERÚ - COREA SANTA ROSA ;F0XX al F100 del F100 al F39X, del F600 al F99X;SI;No dejar grabar si sobrepasa el maximo
5807;SERTRALINA 50 mg;1;180;HOSPITAL DE LA AMISTAD PERÚ - COREA SANTA ROSA ;F000 al F199X, F300 al F59X, F900 al F99X;SI;No dejar grabar si sobrepasa el maximo
3624;FLUOXETINA CLORHIDRATO 20 mg;1;180;HOSPITAL DE LA AMISTAD PERÚ - COREA SANTA ROSA ;F000 al F199X, F300 al F59X, F900 al F99X;SI;No dejar grabar si sobrepasa el maximo
921;AZATIOPRINA 50 mg;1;240;HOSPITAL DE LA AMISTAD PERÚ - COREA SANTA ROSA ;M060 al M069, del M300 al M308, del M320 al M350, M45X,M314, M316, M941, D688, D689, D693 y D694;SI;No dejar grabar si sobrepasa el maximo
4808;MICOFENOLATO MOFETILO 250 mg;1;480;HOSPITAL DE LA AMISTAD PERÚ - COREA SANTA ROSA ;M060 al M069, del M300 al M308, del M320 al M350, M45X,M314, M316, M941, D688, D689, D693 y D695;SI;No dejar grabar si sobrepasa el maximo
26680;MICOFENOLATO MOFETILO 500 mg;1;360;HOSPITAL DE LA AMISTAD PERÚ - COREA SANTA ROSA ;M060 al M069, del M300 al M308, del M320 al M350, M45X,M314, M316, M941, D688, D689, D693 y D696;SI;No dejar grabar si sobrepasa el maximo
5589;PREDNISONA 5 mg;1;480;HOSPITAL DE LA AMISTAD PERÚ - COREA SANTA ROSA ;M060 al M069, del M300 al M308, del M320 al M350, M45X,M314, M316, M941, D688, D689, D693 y D697;SI;No dejar grabar si sobrepasa el maximo
5588;PREDNISONA 20 mg;1;180;HOSPITAL DE LA AMISTAD PERÚ - COREA SANTA ROSA ;M060 al M069, del M300 al M308, del M320 al M350, M45X,M314, M316, M941, D688, D689, D693 y D698;SI;No dejar grabar si sobrepasa el maximo
6006;SULFASALAZINA 500 mg;1;240;HOSPITAL DE LA AMISTAD PERÚ - COREA SANTA ROSA ;M060 al M069, del M300 al M308, del M320 al M350, M45X,M314, M316, M941, D688, D689, D693 y D699;SI;No dejar grabar si sobrepasa el maximo
6126;TIAMAZOL 5 mg;1;375;HOSPITAL DE LA AMISTAD PERÚ - COREA SANTA ROSA ;E050 al E059, E062;SI;No dejar grabar si sobrepasa el maximo
3718;GABAPENTINA 300 mg;1;360;HOSPITAL DE LA AMISTAD PERÚ - COREA SANTA ROSA ;E100 al  E144;SI;No dejar grabar si sobrepasa el maximo
200;ÁCIDO FOLICO  0.5 mg;1;360;HOSPITAL DE LA AMISTAD PERÚ - COREA SANTA ROSA ;D589 al D599;SI;No dejar grabar si sobrepasa el maximo
3963;HIDROXICARBAMIDA 500 mg;1;180;HOSPITAL DE LA AMISTAD PERÚ - COREA SANTA ROSA ;D570 al D578;SI;No dejar grabar si sobrepasa el maximo
