FORMA TERAPEUTICA;DESCRIPCION;MINIMO;MAXIMO_NO HOSPITALIZADOS;MAXIMO_HOSPITALIZADOS;NIVEL DE EESS;ACCION;;;
BARRA;Barra;0;2;4;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;Ajuste (aumento) a 270 tabletas para el tratamiento a diagnósticos vinculados a la estrategia HEARTS (Hipertensión Arterial (I10 – I15), Diabetes Mellitus tipo 2 (E10-E14) y Enfermedad Renal Crónica (N18- N19). Ver criterio (19)
AER-INH;Aerosol para inhalacion;0;4;8;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
AER-TOP;Aerosol para aplicación topica;0;2;4;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
CAP;Capsula;0;180;90;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
CAP_LM;Capsula low motion;0;30;90;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
CHAMP;Medicamento en Champu ;0;1;1;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
COLUT;Colutorio;0;2;4;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
CRM;Crema para aplicación topica;0;2(9);5;I, II;No dejar grabar si sobrepasa el tope máximo;;;
CRM;Crema para aplicación topica;0;6;5;III;No dejar grabar si sobrepasa el tope máximo;;;
CRE_VAG;Crema vaginal;0;2;2;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
CRM_O;Crema oftalmica;0;2;4;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
ELIX;Elixir;0;1;1;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
EMUL;Emulsiones;0;2;4;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
ENEMA;Enema;0;6;10;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
ESPUM;Espuma;0;2;4;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
FCO;Frasco;0;4;6;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
GEL;Gel;0;2(11);5;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
IMPLA;Implante;0;1;1;I, II, III;No dejar grabar si sobrepasa el tope máximo;;;
INY;Solución para inyección, suspensión para inyeccion, polvo para suspension inyectable, polvo para solucion inyectable, polvo liofilizado para solucion inyectable, emulsión para inyección, concentrado para infusión intravenosa.;0;50;;I;No dejar grabar si sobrepasa el tope máximo;;;
