CODIGO;NOMBRE;Presentacion;Concentracion;FormaFarmaceutica;TIPO;VISUALIZABLE
1746;CETRIMIDA + CLORHEXIDINA + ISOPROPANOL;1 L;15 g + 1.5 g + 3.14 g/100 mL;SOL;MEDICAMENTO;N
1749;CETRIMIDA + CLORHEXIDINA + ISOPROPANOL;3.785 L;15 g + 1.5 g + 3.14 g/100 mL;SOL;MEDICAMENTO;N
2157;CLORHEXIDINA;1 L;5 g/100 mL;JABON LIQUIDO;MEDICAMENTO;N
2158;CLORHEXIDINA;250 mL;5 g/100 mL;JABON LIQUIDO;MEDICAMENTO;N
2160;CLORHEXIDINA;500 mL;5 g/100 mL;JABON LIQUIDO;MEDICAMENTO;N
2164;CLORHEXIDINA;5 mL;1 mg/ mL;SOL;MEDICAMENTO;N
2166;CLORHEXIDINA;1 L;1.5 g/100 mL;SOL;MEDICAMENTO;N
2168;CLORHEXIDINA;3.785 L;1.5 g/100 mL;SOL;MEDICAMENTO;N
2169;CLORHEXIDINA;3.800 L;1.5 g/100 mL;SOL;MEDICAMENTO;N
2171;CLORHEXIDINA;5 L;1.5 g/100 mL;SOL;MEDICAMENTO;N
2172;CLORHEXIDINA;500 mL;1.5 g/100 mL;SOL;MEDICAMENTO;N
2174;CLORHEXIDINA;800 mL;1.5 g/100 mL;SOL;MEDICAMENTO;N
2176;CLORHEXIDINA;1 L;2 g/100 mL;SOL;MEDICAMENTO;N
2177;CLORHEXIDINA;2 L;2 g/100 mL;SOL;MEDICAMENTO;N
2180;CLORHEXIDINA;4 L;2 g/100 mL;SOL;MEDICAMENTO;N
2181;CLORHEXIDINA;5 L;2 g/100 mL;SOL;MEDICAMENTO;N
2182;CLORHEXIDINA;500 mL;2 g/100 mL;SOL;MEDICAMENTO;N
2185;CLORHEXIDINA;1.5 L;4 g/100 mL;SOL;MEDICAMENTO;N
2187;CLORHEXIDINA GLUCONATO;1 L;4 g/100 mL (4 %);SOL;MEDICAMENTO;N
2190;CLORHEXIDINA;250 mL;4 g/100 mL;SOL;MEDICAMENTO;N
2191;CLORHEXIDINA;3.800 L;4 g/100 mL;SOL;MEDICAMENTO;N
2194;CLORHEXIDINA;5 L;4 g/100 mL;SOL;MEDICAMENTO;N
2196;CLORHEXIDINA;60 mL;4 g/100 mL;SOL;MEDICAMENTO;N
2197;CLORHEXIDINA;750 mL;4 g/100 mL;SOL;MEDICAMENTO;N
2199;CLORHEXIDINA;0;5 mg;TAB;MEDICAMENTO;N
19196;CLORHEXIDINA GLUCONATO;3 g;20 g/100 g;GEL;MEDICAMENTO;N
25249;CLORHEXIDINA GLUCONATO;1 L;0.05 g/100 mL;GEL;MEDICAMENTO;N
30807;CLORHEXIDINA;500 mL;120 mg/100 mL;SOL;MEDICAMENTO;N
41493;CLORHEXIDINA GLUCONATO;80 g;120 mg/100 g;GEL;MEDICAMENTO;N
2159;CLORHEXIDINA;3.785 L;5 g/100 mL;JABON LIQUIDO;MEDICAMENTO;N
2167;CLORHEXIDINA;2 L;1.5 g/100 mL;SOL;MEDICAMENTO;N
2173;CLORHEXIDINA;750 mL;1.5 g/100 mL;SOL;MEDICAMENTO;N
2179;CLORHEXIDINA;3.785 L;2 g/100 mL;SOL;MEDICAMENTO;N
2184;CLORHEXIDINA;800 mL;2 g/100 mL;SOL;MEDICAMENTO;N
2189;CLORHEXIDINA;2 L;4 g/100 mL;SOL;MEDICAMENTO;N
2192;CLORHEXIDINA;4 L;4 g/100 mL;SOL;MEDICAMENTO;N
2198;CLORHEXIDINA;800 mL;4 g/100 mL;SOL;MEDICAMENTO;N
17623;CLORHEXIDINA;120 mL;1.5 g/100 mL;SOL;MEDICAMENTO;N
28384;CLORHEXIDINA GLUCONATO;250 mL;0.05 g/100 mL;GEL;MEDICAMENTO;N
2178;CLORHEXIDINA;3.800 L;2 g/100 mL;SOL;MEDICAMENTO;N
2165;CLORHEXIDINA;1.5 L;1.5 g/100 mL;SOL;MEDICAMENTO;N
2170;CLORHEXIDINA;4 L;1.5 g/100 mL;SOL;MEDICAMENTO;N
2175;CLORHEXIDINA;1.5 L;2 g/100 mL;SOL;MEDICAMENTO;N
2183;CLORHEXIDINA;750 mL;2 g/100 mL;SOL;MEDICAMENTO;N
2195;CLORHEXIDINA;500 mL;4 g/100 mL;SOL;MEDICAMENTO;N
