ESPECIALIDAD;TIPO_RESPONSABLE_ATENCION
GINECOLOGÍA Y OBSTETRICIA;MÉDICO
OFTALMOLOGÍA;MÉDICO
CIRUGÍA GENERAL;MÉDICO
NEUROLOGÍA;MÉDICO
ANESTESIOLOGÍA;MÉDICO
PEDIATRÍA;MÉDICO
DERMATOLOGÍA;MÉDICO
ENDOCRINOLOGÍA;MÉDICO
ORTOPEDIA Y TRAUMATOLOGÍA/TRAUMATOLOGÍA;MÉDICO
OTORRINOLARINGOLOGÍA;MÉDICO
CARDIOLOGÍA;MÉDICO
NEUMOLOGÍA;MÉDICO
GASTROENTEROLOGÍA;MÉDICO
ONCOLOGÍA MÉDICA /MEDICINA ONCOLÓGICA;MÉDICO
NEFROLOGÍA;MÉDICO
UROLOGÍA;MÉDICO
NEONATOLOGÍA;MÉDICO
REUMATOLOGÍA;MÉDICO
HEMATOLOGÍA CLÍNICA;MÉDICO
INFECTOLOGÍA (MEDICINA DE ENFERMEDADES INFECCIOSAS Y TROPICALES/INFECTOLOGÍA/ ENFERMEDADES INFECCIOSAS Y TROPICALES/MEDICINA DE INFECTOLOGÍA);MÉDICO
ADMINISTRACIÓN Y GESTIÓN EN SALUD/ADMINISTRACIÓN DE SALUD;MÉDICO
ANATOMÍA PATOLÓGICA;MÉDICO
ANATOMÍA PATOLÓGICA ONCOLÓGICA;MÉDICO
ANESTESIOLOGÍA CARDIOVASCULAR;MÉDICO
ANESTESIOLOGÍA OBSTÉTRICA;MÉDICO
CARDIOLOGÍA PEDIÁTRICA;MÉDICO
CIRUGÍA DE CABEZA Y CUELLO/CIRUGÍA DE CABEZA Y CUELLO Y MAXILO FACIAL;MÉDICO
CIRUGÍA DE MANO;MÉDICO
CIRUGÍA ONCOLÓGICA/CIRUGÍA GENERAL ONCOLÓGICA;MÉDICO
CIRUGÍA ONCOLÓGICA ABDOMINAL;MÉDICO
CIRUGÍA ONCOLÓGICA DE CABEZA Y CUELLO/CIRUGÍA DE CABEZA Y CUELLO ONCOLÓGICA;MÉDICO
CIRUGÍA ONCOLÓGICA DE MAMAS, TEJIDOS BLANDOS Y PIEL;MÉDICO
CIRUGÍA PEDIÁTRICA;MÉDICO
CIRUGÍA PLÁSTICA/CIRUGÍA PLÁSTICA Y REPARADORA;MÉDICO
CIRUGÍA TORÁCICA Y CARDIOVASCULAR;MÉDICO
CUIDADOS INTENSIVOS EN PEDIATRÍA;MÉDICO
DERMATOLOGÍA PEDIÁTRICA;MÉDICO
ENDOCRINOLOGÍA PEDIÁTRICA;MÉDICO
GASTROENTEROLOGÍA PEDIÁTRICA;MÉDICO
GENÉTICA MÉDICA/GENÉTICA;MÉDICO
GERIATRÍA;MÉDICO
GESTIÓN EN SALUD/MEDICINA INTEGRAL Y GESTIÓN EN SALUD;MÉDICO
GINECOLOGÍA ONCOLÓGICA;MÉDICO
GINECOLOGÍA Y OBSTETRICIA DE LA NIÑA Y ADOLESCENTE;MÉDICO
HEMATOLOGÍA PEDIÁTRICA;MÉDICO
INFECTOLOGÍA PEDIÁTRICA;MÉDICO
INMUNOLOGÍA Y ALERGIA;MÉDICO
INMUNOREUMATOLOGÍA;MÉDICO
MEDICINA DEL ADOLESCENTE/ADOLESCENTOLOGÍA;MÉDICO
MEDICINA DE EMERGENCIAS Y DESASTRES;MÉDICO
MEDICINA DE REHABILITACIÓN/MEDICINA FÍSICA Y REHABILITACIÓN;MÉDICO
MEDICINA DEL DEPORTE;MÉDICO
MEDICINA FAMILIAR Y COMUNITARIA/MEDICINA FAMILIAR/MEDICINA GENERAL INTEGRAL - FAMILIAR;MÉDICO
MEDICINA FORENSE;MÉDICO
MEDICINA LEGAL;MÉDICO
MEDICINA INTENSIVA;MÉDICO
MEDICINA INTENSIVA PEDIÁTRICA;MÉDICO
MEDICINA INTERNA;MÉDICO
MEDICINA NUCLEAR;MÉDICO
MEDICINA OCUPACIONAL Y DEL MEDIO AMBIENTE/SALUD OCUPACIONAL;MÉDICO
NEFROLOGÍA PEDIÁTRICA;MÉDICO
NEUMOLOGÍA PEDIÁTRICA;MÉDICO
NEUROCIRUGÍA;MÉDICO
NEUROCIRUGÍA PEDIÁTRICA;MÉDICO
NEUROLOGÍA PEDIÁTRICA;MÉDICO
OFTALMOLOGÍA ONCOLÓGICA;MÉDICO
OFTALMOLOGÍA PEDIÁTRICA Y ESTRABISMO;MÉDICO
ONCOLOGÍA PEDIÁTRICA;MÉDICO
PATOLOGÍA CLÍNICA;MÉDICO
PATOLOGÍA ONCOLÓGICA;MÉDICO
PEDIATRÍA DE EMERGENCIAS Y DESASTRES;MÉDICO
PSIQUIATRÍA;MÉDICO
PSIQUIATRÍA DE ADICCIONES;MÉDICO
PSIQUIATRÍA DE NIÑOS Y ADOLESCENTES/PSIQUIATRÍA INFANTIL;MÉDICO
RADIOLOGÍA;MÉDICO
RADIOTERAPIA;MÉDICO
UROLOGÍA ONCOLÓGICA;MÉDICO
UROLOGÍA PEDIÁTRICA;MÉDICO
CIRUGÍA BUCAL MÁXILO FACIAL;ODONTÓLOGO
CARIELOGÍA Y ENDODONCIA;ODONTÓLOGO
MEDICINA Y PATOLOGÍA ESTOMATOLÓGICA;ODONTÓLOGO
ODONTOPEDIATRÍA;ODONTÓLOGO
ORTODONCIA Y ORTOPEDIA MAXILAR;ODONTÓLOGO
PERIODONCIA;ODONTÓLOGO
RADIOLOGÍA BUCAL Y MÁXILO FACIAL;ODONTÓLOGO
REHABILITACIÓN ORAL;ODONTÓLOGO
SALUD PÚBLICA ESTOMATOLÓGICA;ODONTÓLOGO
ODONTOLOGÍA FORENSE;ODONTÓLOGO
ESTOMATOLOGÍA DE PACIENTES ESPECIALES;ODONTÓLOGO
IMAGENOLOGÍA;MÉDICO
FONIATRÍA;MÉDICO
